,week,day,time_of_day,class_type,faculty,school,joint,status,degree,enrollment,class_duration
1491,10,1,2,0,2,16,0,4,2,418,2
1492,4,1,1,0,6,23,0,4,2,296,2
1493,1,1,2,0,2,16,0,4,2,418,2
1494,1,1,0,0,6,18,0,4,2,421,2
1495,3,4,0,0,5,28,0,2,2,271,1
1496,8,2,0,0,6,30,0,4,2,269,2
1497,9,0,0,0,2,17,1,4,1,303,1
1498,11,4,0,0,5,28,0,2,2,271,1
1499,9,3,0,0,6,23,0,4,2,455,2
1500,6,2,1,0,2,25,0,4,2,399,3
1501,4,2,2,0,5,8,0,4,2,381,2
1502,12,4,3,0,2,16,0,4,0,344,3
1503,4,0,2,0,5,8,0,4,2,306,2
1504,2,1,3,0,6,11,0,4,2,133,2
1505,2,4,2,0,5,8,0,4,2,291,2
1506,4,1,2,0,5,8,0,4,2,399,2
1507,3,2,0,0,6,30,0,4,2,269,2
1508,1,1,1,0,6,23,0,4,2,296,2
1509,10,4,3,0,2,16,0,4,0,344,3
1510,10,4,1,0,6,18,0,4,2,400,2
1511,4,2,2,0,6,18,0,4,2,397,2
1512,2,1,0,0,6,18,0,4,2,421,2
1513,10,4,0,0,5,28,0,2,2,271,1
1514,5,1,1,0,6,23,0,4,2,296,2
1515,2,4,0,0,6,18,0,4,2,416,2
1516,8,0,2,0,5,8,0,4,2,306,2
1517,0,4,1,0,2,16,0,4,2,418,1
1518,1,0,2,0,5,8,0,4,2,306,2
1519,10,1,0,0,6,18,0,4,2,421,2
1520,4,4,1,0,2,16,0,4,2,418,1
1521,5,0,0,0,2,17,1,4,1,303,1
1522,8,3,0,0,6,23,0,4,2,455,2
1523,10,4,2,0,5,8,0,4,2,291,2
1524,4,3,1,0,5,8,0,4,2,447,1
1525,8,3,2,0,5,8,0,4,2,399,2
1526,5,1,2,0,5,8,0,4,2,399,2
1527,11,0,2,0,5,8,0,4,2,306,2
1528,11,4,0,0,6,18,0,4,2,416,2
1529,4,0,0,0,5,8,0,4,2,447,1
1530,5,3,0,0,6,23,0,4,2,455,2
1531,9,2,2,0,5,8,0,4,2,381,2
1532,9,0,0,0,5,8,0,4,2,447,1
1533,9,0,2,0,5,8,0,4,2,306,2
1534,3,0,0,0,5,8,0,4,2,447,1
1535,5,1,1,0,5,15,0,4,2,386,1
